OPP,OPRK
KC,1st
GB,2nd
Ari,2nd
Buf,3rd
NO,4th
Ten,6th
Sea,6th
Atl,8th
LV,9th
Pit,9th
Car,11th
Mia,12th
TB,13th
LAC,14th
Bal,15th
Ind,16th
Hou,17th
LAR,18th
Jax,19th
Min,20th
Cle,21st
Dal,22nd
Det,23rd
NE,23rd
Cin,25th
 SF ,26th
Wsh,27th
Phi,28th
Chi,29th
NYG ,30th
Den,31st
NYJ,32nd
