OPP,OPRK
GB,1st
KC ,2nd
NO,3rd
Ari,4th
Sea,5th
Ten,6th
Buf,7th
 Atl,8th
Car,9th
Mia,10th
LAC,10th
Pit,12th
LV,12th
Bal,14th
Min,15th
Hou,16th
LAR,16th
TB,18th
Ind,19th
SF,20th
Jax,21st
Cin,22nd
Dal,23rd
Cle,24th
Det,25th
NE,26th
Phi,27th
Wsh,28th
Chi,29th
Den,30th
NYG,31st
 NYJ,32nd
